2022-01-30T15:08:09Z | roi_ana.sh | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1633927347 | 8d87b7507197fad8799870bb9fc5d0b2 | 1027 | 00000244oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | e3c83149-5dec-46da-9072-e19d636ae564 | 
2022-01-30T15:08:09Z | roi_ana_model.sh | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1640426809 | 19a84947f3f25e5e4a44d3fd6890e29f | 2609 | 00000245oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 7ee2194a-cd95-42f0-a521-9befbb9bce62 | 
2022-01-30T15:08:09Z | roi_extr_iresp.sh | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1638814736 | f1d34f6026ccba082b5b4cdfab1ad24e | 1114 | 00000246oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 67a0c717-e187-4294-8b0f-e949ccc9ee21 | 
2022-01-30T15:08:09Z | run_roi_ana_model_many.sh | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1640426924 | 4259d562127deb5a0cd9f551a5767149 | 284 | 00000247oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | e323000a-2656-440e-ba0a-fd02c6b024cb | 
2022-01-30T15:08:09Z | suit_plot.py | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1633221299 | 17d23e52223a2d2bc2983e4c7da15550 | 506 | 00000248oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | b1c906b6-0749-41c9-88b7-0b283182fafd | 
2022-01-30T15:08:10Z | tmp | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1642499642 | 2c8949fcc5249fe47659a56ac56b6f76 | 10560 | 00000249oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 54d133f4-bde8-44af-a2a2-00f65e1d9191 | 
2022-01-30T15:08:09Z | test_extrac.sh | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1640418070 | ad766e136f80b921f22db8e354fe8fcb | 244 | 00000250oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 4764a884-1a30-4c91-9465-43a030acb52a | 
2022-01-30T15:08:10Z | tmp2 | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1640091319 | 88c19ef8d09584c4c9d2f2e7e75f5235 | 96 | 00000251oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | e7cb13a8-429a-407f-aac9-bcb2947deb14 | 
#=#=#=# Syncrun finished 2022-01-30T15:08:11Z (last step: 5371 msec , total: 5439 msec) 
#=#=#=# Syncrun started  2022-01-30T15:08:35Z 
#=#=#=#=# Propagation starts 2022-01-30T15:08:35Z (last step: 148 msec , total: 148 msec) 
#=#=#=# Syncrun finished 2022-01-30T15:08:35Z (last step: 9 msec , total: 157 msec) 
#=#=#=# Syncrun started  2022-01-30T17:08:39Z 
#=#=#=#=# Propagation starts 2022-01-30T17:08:40Z (last step: 426 msec , total: 426 msec) 
#=#=#=# Syncrun finished 2022-01-30T17:08:40Z (last step: 35 msec , total: 462 msec) 
#=#=#=# Syncrun started  2022-01-30T19:08:44Z 
#=#=#=#=# Propagation starts 2022-01-30T19:08:45Z (last step: 561 msec , total: 561 msec) 
#=#=#=# Syncrun finished 2022-01-30T19:08:45Z (last step: 44 msec , total: 605 msec) 
#=#=#=# Syncrun started  2022-01-30T21:08:49Z 
#=#=#=#=# Propagation starts 2022-01-30T21:08:49Z (last step: 150 msec , total: 150 msec) 
#=#=#=# Syncrun finished 2022-01-30T21:08:49Z (last step: 8 msec , total: 159 msec) 
#=#=#=# Syncrun started  2022-01-30T23:08:54Z 
#=#=#=#=# Propagation starts 2022-01-30T23:08:54Z (last step: 120 msec , total: 120 msec) 
#=#=#=# Syncrun finished 2022-01-30T23:08:54Z (last step: 8 msec , total: 128 msec) 
#=#=#=# Syncrun started  2022-01-31T01:08:59Z 
#=#=#=#=# Propagation starts 2022-01-31T01:08:59Z (last step: 225 msec , total: 225 msec) 
#=#=#=# Syncrun finished 2022-01-31T01:08:59Z (last step: 9 msec , total: 235 msec) 
#=#=#=# Syncrun started  2022-01-31T03:09:04Z 
#=#=#=#=# Propagation starts 2022-01-31T03:09:05Z (last step: 337 msec , total: 337 msec) 
#=#=#=# Syncrun finished 2022-01-31T03:09:05Z (last step: 8 msec , total: 346 msec) 
#=#=#=# Syncrun started  2022-01-31T05:09:09Z 
#=#=#=#=# Propagation starts 2022-01-31T05:09:10Z (last step: 601 msec , total: 601 msec) 
#=#=#=# Syncrun finished 2022-01-31T05:09:10Z (last step: 8 msec , total: 609 msec) 
#=#=#=# Syncrun started  2022-01-31T07:09:14Z 
#=#=#=#=# Propagation starts 2022-01-31T07:09:15Z (last step: 372 msec , total: 372 msec) 
#=#=#=# Syncrun finished 2022-01-31T07:09:15Z (last step: 8 msec , total: 380 msec) 
#=#=#=# Syncrun started  2022-01-31T09:09:19Z 
#=#=#=#=# Propagation starts 2022-01-31T09:09:19Z (last step: 294 msec , total: 294 msec) 
#=#=#=# Syncrun finished 2022-01-31T09:09:20Z (last step: 9 msec , total: 303 msec) 
#=#=#=# Syncrun started  2022-01-31T11:09:24Z 
#=#=#=#=# Propagation starts 2022-01-31T11:09:25Z (last step: 347 msec , total: 347 msec) 
#=#=#=# Syncrun finished 2022-01-31T11:09:25Z (last step: 9 msec , total: 356 msec) 
#=#=#=# Syncrun started  2022-01-31T13:09:29Z 
#=#=#=#=# Propagation starts 2022-01-31T13:09:30Z (last step: 859 msec , total: 859 msec) 
#=#=#=# Syncrun finished 2022-01-31T13:09:30Z (last step: 8 msec , total: 868 msec) 
#=#=#=# Syncrun started  2022-01-31T15:09:34Z 
#=#=#=#=# Propagation starts 2022-01-31T15:09:35Z (last step: 398 msec , total: 398 msec) 
#=#=#=# Syncrun finished 2022-01-31T15:09:35Z (last step: 63 msec , total: 461 msec) 
#=#=#=# Syncrun started  2022-01-31T17:09:39Z 
